t,x,y,z,xd,yd,zd,qw,qx,qy,qz,p,q,r
0,0,0,0,0,0,0,1,0,-0,-0,0,0,0
0.01,1.9562e-08,1.9456e-08,9.1243e-08,8.0705e-06,8.0396e-06,2.849e-05,1,0.00012708,-0.00012735,-1.0001e-07,-0.05235,0.052364,3.6956e-05
0.02,3.302e-07,3.2953e-07,8.0708e-07,6.6285e-05,6.6207e-05,0.00012769,1,0.00049846,-0.00049862,-4.0943e-07,-0.092078,0.092021,9.0181e-05
0.03,1.6427e-06,1.6412e-06,2.9187e-06,0.0002129,0.00021281,0.00030877,1,0.0010054,-0.0010053,-1.0857e-06,-0.10687,0.10682,0.00019358
0.04,4.9361e-06,4.9339e-06,7.2699e-06,0.00046333,0.00046328,0.00057599,1,0.0015386,-0.0015384,-2.5327e-06,-0.10453,0.10452,0.00040592
0.05,1.1252e-05,1.125e-05,1.473e-05,0.00081643,0.00081642,0.00093054,1,0.0020411,-0.002041,-5.3596e-06,-0.096214,0.09624,0.00074458
0.06,2.1582e-05,2.158e-05,2.6171e-05,0.0012648,0.0012648,0.0013723,0.99999,0.0025027,-0.0025027,-1.0153e-05,-0.088885,0.088913,0.0011884
0.07,3.6842e-05,3.684e-05,4.2463e-05,0.0018015,0.0018015,0.0019003,0.99999,0.0029354,-0.0029356,-1.7385e-05,-0.084708,0.084725,0.0017167
0.08,5.7893e-05,5.7891e-05,6.4462e-05,0.0024225,0.0024225,0.0025137,0.99999,0.0033539,-0.0033542,-2.745e-05,-0.082966,0.082973,0.0023215
0.09,8.5568e-05,8.5565e-05,9.3016e-05,0.0031262,0.0031261,0.003211,0.99999,0.0037668,-0.0037673,-4.0734e-05,-0.082232,0.082236,0.0030049
0.1,0.00012069,0.00012069,0.00012896,0.0039118,0.0039117,0.0039909,0.99998,0.0041762,-0.0041769,-5.7642e-05,-0.081515,0.081537,0.0037721
0.11,0.00016407,0.00016407,0.00017311,0.0047786,0.0047785,0.0048522,0.99998,0.0045811,-0.004582,-7.8596e-05,-0.080398,0.080421,0.0046239
0.12,0.00021653,0.00021653,0.00022627,0.0057259,0.0057257,0.0057935,0.99998,0.0049796,-0.0049808,-0.00010402,-0.078972,0.079008,0.0055609
0.13,0.00027886,0.00027885,0.00028924,0.0067521,0.0067519,0.0068135,0.99997,0.0053704,-0.0053721,-0.00013434,-0.077403,0.077449,0.0065802
0.14,0.00035183,0.00035182,0.0003628,0.007856,0.0078558,0.0079107,0.99997,0.0057534,-0.0057556,-0.00016996,-0.075833,0.075888,0.0076791
0.15,0.00043623,0.00043622,0.00044771,0.0090361,0.0090358,0.009084,0.99996,0.0061286,-0.0061315,-0.00021126,-0.074337,0.074412,0.0088562
0.16,0.0005328,0.00053279,0.00054472,0.010291,0.010291,0.010332,0.99996,0.0064964,-0.0065001,-0.00025864,-0.072869,0.072945,0.010108
0.17,0.0006423,0.00064228,0.00065459,0.011619,0.011619,0.011653,0.99995,0.006857,-0.0068616,-0.00031246,-0.071454,0.071543,0.011435
0.18,0.00076543,0.00076541,0.00077803,0.01302,0.013019,0.013047,0.99995,0.0072105,-0.0072163,-0.00037311,-0.070062,0.070169,0.012836
0.19,0.00090293,0.0009029,0.00091576,0.014491,0.014491,0.014511,0.99994,0.007557,-0.0075641,-0.00044094,-0.068683,0.068816,0.01431
0.2,0.0010555,0.0010555,0.0010685,0.016032,0.016031,0.016045,0.99994,0.0078965,-0.0079051,-0.00051632,-0.067306,0.067459,0.015855
0.21,0.0012238,0.0012238,0.0012369,0.017641,0.017641,0.017647,0.99993,0.008229,-0.0082394,-0.00059959,-0.065909,0.066068,0.017468
0.22,0.0014085,0.0014085,0.0014216,0.019317,0.019317,0.019316,0.99993,0.0085546,-0.008567,-0.0006911,-0.064558,0.064745,0.019151
0.23,0.0016104,0.0016103,0.0016234,0.021059,0.021058,0.02105,0.99992,0.0088733,-0.008888,-0.00079118,-0.06322,0.063437,0.020901
0.24,0.0018299,0.0018299,0.0018429,0.022866,0.022864,0.022849,0.99992,0.0091853,-0.0092025,-0.00090018,-0.061864,0.062092,0.022715
0.25,0.0020679,0.0020678,0.0020806,0.024735,0.024734,0.024711,0.99991,0.0094905,-0.0095105,-0.0010184,-0.060546,0.060802,0.024594
0.26,0.0023248,0.0023247,0.0023373,0.026666,0.026665,0.026635,0.9999,0.009789,-0.0098122,-0.0011462,-0.059221,0.059496,0.026535
0.27,0.0026014,0.0026013,0.0026135,0.028658,0.028657,0.02862,0.9999,0.010081,-0.010107,-0.0012838,-0.057938,0.058252,0.02854
0.28,0.0028982,0.0028981,0.0029099,0.03071,0.030708,0.030664,0.99989,0.010366,-0.010397,-0.0014316,-0.056626,0.056953,0.030603
0.29,0.0032158,0.0032157,0.003227,0.032819,0.032817,0.032766,0.99989,0.010645,-0.010679,-0.0015899,-0.055359,0.055722,0.032726
0.3,0.0035548,0.0035546,0.0035654,0.034985,0.034983,0.034926,0.99988,0.010917,-0.010956,-0.0017589,-0.054091,0.054483,0.034907
0.31,0.0039157,0.0039155,0.0039257,0.037208,0.037205,0.037141,0.99987,0.011183,-0.011227,-0.001939,-0.052827,0.053246,0.037144
0.32,0.0042991,0.0042989,0.0043084,0.039484,0.039482,0.039411,0.99987,0.011442,-0.011492,-0.0021304,-0.051577,0.052024,0.039437
0.33,0.0047056,0.0047053,0.0047141,0.041814,0.041812,0.041734,0.99986,0.011695,-0.011751,-0.0023334,-0.050348,0.05083,0.041784
0.34,0.0051356,0.0051353,0.0051432,0.044196,0.044193,0.044109,0.99985,0.011942,-0.012004,-0.0025482,-0.049111,0.049615,0.044182
0.35,0.0055897,0.0055894,0.0055964,0.046629,0.046626,0.046535,0.99985,0.012182,-0.012251,-0.0027752,-0.047913,0.048459,0.046634
0.36,0.0060683,0.006068,0.0060741,0.049112,0.049109,0.049011,0.99984,0.012416,-0.012492,-0.0030146,-0.046708,0.047285,0.049135
0.37,0.0065721,0.0065717,0.0065768,0.051643,0.051639,0.051536,0.99983,0.012644,-0.012728,-0.0032665,-0.045499,0.046099,0.051685
0.38,0.0071013,0.0071009,0.007105,0.054222,0.054218,0.054108,0.99983,0.012866,-0.012959,-0.0035314,-0.04432,0.044954,0.054283
0.39,0.0076566,0.0076562,0.0076591,0.056846,0.056842,0.056727,0.99982,0.013082,-0.013183,-0.0038093,-0.04316,0.043832,0.056928
0.4,0.0082384,0.0082379,0.0082397,0.059516,0.059512,0.059391,0.99981,0.013292,-0.013402,-0.0041006,-0.041992,0.042693,0.059618
0.41,0.0088471,0.0088466,0.0088471,0.06223,0.062226,0.062098,0.99981,0.013496,-0.013616,-0.0044054,-0.040845,0.04158,0.062353
0.42,0.0094832,0.0094826,0.0094818,0.064986,0.064982,0.064849,0.9998,0.013693,-0.013825,-0.004724,-0.039703,0.040468,0.065131
0.43,0.010147,0.010146,0.010144,0.067785,0.06778,0.067642,0.99979,0.013885,-0.014028,-0.0050566,-0.038567,0.039361,0.067951
0.44,0.010839,0.010838,0.010835,0.070623,0.070618,0.070475,0.99979,0.014071,-0.014226,-0.0054034,-0.037443,0.038265,0.070811
0.45,0.01156,0.011559,0.011554,0.073501,0.073496,0.073348,0.99978,0.014252,-0.014418,-0.0057646,-0.036334,0.037186,0.073711
0.46,0.012309,0.012308,0.012302,0.076418,0.076412,0.076259,0.99977,0.014426,-0.014606,-0.0061403,-0.035231,0.03611,0.07665
0.47,0.013088,0.013087,0.013079,0.079371,0.079365,0.079207,0.99976,0.014595,-0.014788,-0.0065309,-0.034137,0.035042,0.079626
0.48,0.013897,0.013896,0.013886,0.082361,0.082355,0.082192,0.99976,0.014758,-0.014966,-0.0069364,-0.033053,0.033982,0.082638
0.49,0.014735,0.014734,0.014723,0.085386,0.085379,0.085212,0.99975,0.014916,-0.015138,-0.0073571,-0.031982,0.032937,0.085686
0.5,0.015605,0.015603,0.01559,0.088444,0.088438,0.088266,0.99974,0.015067,-0.015305,-0.007793,-0.030928,0.03191,0.088768
0.51,0.016504,0.016503,0.016489,0.091536,0.091529,0.091353,0.99973,0.015214,-0.015468,-0.0082445,-0.02987,0.03087,0.091882
0.52,0.017435,0.017434,0.017418,0.094659,0.094652,0.094472,0.99972,0.015354,-0.015626,-0.0087116,-0.028833,0.029857,0.095029
0.53,0.018398,0.018396,0.018378,0.097813,0.097805,0.097622,0.99971,0.01549,-0.015779,-0.0091945,-0.027806,0.02885,0.098207
0.54,0.019392,0.01939,0.01937,0.101,0.10099,0.1008,0.9997,0.015619,-0.015927,-0.0096933,-0.026775,0.027832,0.10141
0.55,0.020418,0.020416,0.020394,0.10421,0.1042,0.10401,0.99969,0.015744,-0.01607,-0.010208,-0.025773,0.026851,0.10465
0.56,0.021476,0.021474,0.02145,0.10745,0.10744,0.10725,0.99969,0.015863,-0.016209,-0.010739,-0.024763,0.025849,0.10791
0.57,0.022567,0.022565,0.022539,0.11072,0.11071,0.11051,0.99968,0.015977,-0.016343,-0.011287,-0.02377,0.024867,0.1112
0.58,0.02369,0.023689,0.023661,0.11401,0.114,0.1138,0.99966,0.016085,-0.016473,-0.011851,-0.022794,0.023903,0.11452
0.59,0.024847,0.024845,0.024815,0.11732,0.11731,0.11711,0.99965,0.016189,-0.016598,-0.012432,-0.021816,0.022927,0.11786
0.6,0.026037,0.026035,0.026003,0.12066,0.12065,0.12045,0.99964,0.016287,-0.016718,-0.013029,-0.020854,0.021969,0.12122
0.61,0.02726,0.027258,0.027224,0.12403,0.12402,0.12381,0.99963,0.01638,-0.016834,-0.013644,-0.019903,0.02102,0.12461
0.62,0.028518,0.028515,0.028479,0.12741,0.1274,0.12719,0.99962,0.016468,-0.016946,-0.014275,-0.018958,0.020073,0.12801
0.63,0.029809,0.029806,0.029768,0.13082,0.1308,0.13059,0.99961,0.01655,-0.017053,-0.014923,-0.018023,0.019131,0.13144
0.64,0.031134,0.031132,0.031091,0.13424,0.13423,0.13402,0.99959,0.016628,-0.017156,-0.015589,-0.017094,0.018192,0.13489
0.65,0.032493,0.032491,0.032449,0.13768,0.13767,0.13746,0.99958,0.016701,-0.017255,-0.016271,-0.01618,0.017266,0.13835
0.66,0.033888,0.033885,0.033841,0.14114,0.14113,0.14092,0.99956,0.016769,-0.017349,-0.016971,-0.01527,0.016339,0.14184
0.67,0.035316,0.035314,0.035267,0.14462,0.14461,0.14439,0.99955,0.016832,-0.017439,-0.017689,-0.014379,0.015432,0.14533
0.68,0.03678,0.036777,0.036728,0.14811,0.1481,0.14788,0.99953,0.01689,-0.017525,-0.018424,-0.013488,0.014515,0.14885
0.69,0.038279,0.038276,0.038225,0.15162,0.15161,0.15139,0.99952,0.016943,-0.017607,-0.019177,-0.012613,0.013615,0.15238
0.7,0.039812,0.03981,0.039756,0.15514,0.15513,0.15491,0.9995,0.016992,-0.017685,-0.019947,-0.011748,0.012721,0.15592
0.71,0.041382,0.041379,0.041323,0.15868,0.15866,0.15844,0.99948,0.017036,-0.017759,-0.020735,-0.010891,0.01183,0.15948
0.72,0.042986,0.042983,0.042925,0.16222,0.16221,0.16199,0.99946,0.017075,-0.017828,-0.021541,-0.01004,0.01094,0.16304
0.73,0.044626,0.044623,0.044563,0.16578,0.16577,0.16555,0.99944,0.017109,-0.017894,-0.022365,-0.0092004,0.010057,0.16662
0.74,0.046302,0.046298,0.046236,0.16935,0.16933,0.16911,0.99942,0.017139,-0.017955,-0.023206,-0.0083729,0.0091832,0.17021
0.75,0.048013,0.048009,0.047945,0.17292,0.17291,0.17269,0.9994,0.017164,-0.018013,-0.024066,-0.0075559,0.0083161,0.17381
0.76,0.04976,0.049756,0.04969,0.17651,0.1765,0.17628,0.99938,0.017185,-0.018066,-0.024943,-0.0067457,0.0074495,0.17741
0.77,0.051543,0.051539,0.051471,0.1801,0.18009,0.17987,0.99935,0.017202,-0.018116,-0.025839,-0.0059435,0.0065854,0.18102
0.78,0.053362,0.053358,0.053288,0.1837,0.18369,0.18347,0.99933,0.017214,-0.018162,-0.026752,-0.0051545,0.0057316,0.18464
0.79,0.055217,0.055213,0.05514,0.18731,0.18729,0.18708,0.9993,0.017221,-0.018203,-0.027684,-0.004373,0.0048793,0.18826
0.8,0.057108,0.057104,0.057029,0.19092,0.1909,0.19069,0.99928,0.017224,-0.018242,-0.028633,-0.0036035,0.0040352,0.19189
0.81,0.059036,0.059031,0.058954,0.19453,0.19452,0.1943,0.99925,0.017223,-0.018276,-0.029601,-0.0028421,0.0031934,0.19552
0.82,0.060999,0.060995,0.060915,0.19815,0.19814,0.19792,0.99922,0.017218,-0.018306,-0.030587,-0.0020901,0.0023554,0.19916
0.83,0.062999,0.062994,0.062912,0.20177,0.20175,0.20154,0.99918,0.017209,-0.018333,-0.031591,-0.0013489,0.0015236,0.20279
0.84,0.065034,0.06503,0.064946,0.20539,0.20538,0.20516,0.99915,0.017195,-0.018356,-0.032613,-0.00061702,0.00069562,0.20643
0.85,0.067106,0.067102,0.067016,0.20901,0.209,0.20879,0.99912,0.017177,-0.018375,-0.033654,0.00010525,-0.00012838,0.21007
0.86,0.069215,0.06921,0.069122,0.21263,0.21262,0.21241,0.99908,0.017155,-0.018391,-0.034712,0.00081761,-0.00094792,0.2137
0.87,0.071359,0.071354,0.071264,0.21626,0.21624,0.21603,0.99904,0.017129,-0.018403,-0.035789,0.0015203,-0.0017634,0.21734
0.88,0.07354,0.073534,0.073442,0.21987,0.21986,0.21965,0.999,0.017099,-0.018411,-0.036884,0.0022131,-0.0025749,0.22097
0.89,0.075757,0.075751,0.075657,0.22349,0.22348,0.22327,0.99896,0.017066,-0.018416,-0.037996,0.0028958,-0.0033818,0.2246
0.9,0.07801,0.078004,0.077908,0.2271,0.22709,0.22689,0.99892,0.017028,-0.018417,-0.039127,0.0035693,-0.0041857,0.22823
0.91,0.080299,0.080293,0.080195,0.23071,0.2307,0.2305,0.99887,0.016986,-0.018414,-0.040276,0.0042327,-0.0049852,0.23185
0.92,0.082624,0.082618,0.082518,0.23432,0.2343,0.23411,0.99883,0.016941,-0.018408,-0.041443,0.0048871,-0.0057825,0.23547
0.93,0.084985,0.084979,0.084877,0.23792,0.2379,0.23771,0.99878,0.016892,-0.018398,-0.042628,0.005531,-0.006575,0.23908
0.94,0.087382,0.087376,0.087272,0.24151,0.24149,0.2413,0.99873,0.016839,-0.018385,-0.043831,0.0061626,-0.0073597,0.24268
0.95,0.089815,0.089809,0.089703,0.24509,0.24508,0.24489,0.99867,0.016782,-0.018368,-0.045052,0.0067871,-0.0081453,0.24627
0.96,0.092284,0.092277,0.09217,0.24867,0.24866,0.24847,0.99862,0.016722,-0.018348,-0.046291,0.0074017,-0.0089272,0.24986
0.97,0.094789,0.094782,0.094672,0.25224,0.25222,0.25204,0.99856,0.016658,-0.018324,-0.047547,0.0080074,-0.0097076,0.25344
0.98,0.097329,0.097322,0.097211,0.2558,0.25578,0.2556,0.9985,0.016591,-0.018297,-0.048822,0.0085992,-0.010477,0.25701
0.99,0.099905,0.099897,0.099784,0.25935,0.25933,0.25916,0.99844,0.01652,-0.018267,-0.050114,0.0091822,-0.011246,0.26056
1,0.10252,0.10251,0.10239,0.26289,0.26287,0.2627,0.99838,0.016446,-0.018233,-0.051423,0.0097573,-0.012014,0.26411
1.01,0.10516,0.10515,0.10504,0.26641,0.2664,0.26623,0.99831,0.016369,-0.018195,-0.052751,0.010324,-0.012782,0.26764
1.02,0.10784,0.10784,0.10772,0.26993,0.26991,0.26975,0.99824,0.016288,-0.018154,-0.054095,0.010876,-0.013539,0.27116
1.03,0.11056,0.11055,0.11043,0.27343,0.27341,0.27325,0.99817,0.016204,-0.01811,-0.055458,0.011423,-0.0143,0.27467
1.04,0.11331,0.1133,0.11318,0.27692,0.2769,0.27674,0.99809,0.016116,-0.018062,-0.056837,0.011956,-0.015051,0.27816
1.05,0.1161,0.11609,0.11597,0.28039,0.28037,0.28022,0.99801,0.016025,-0.018011,-0.058234,0.012479,-0.015799,0.28164
1.06,0.11892,0.11891,0.11879,0.28385,0.28383,0.28368,0.99793,0.015932,-0.017957,-0.059648,0.012992,-0.016544,0.2851
1.07,0.12178,0.12177,0.12164,0.28729,0.28727,0.28713,0.99785,0.015835,-0.017899,-0.06108,0.0135,-0.017294,0.28854
1.08,0.12467,0.12466,0.12453,0.29072,0.2907,0.29056,0.99776,0.015735,-0.017839,-0.062528,0.01399,-0.018027,0.29197
1.09,0.12759,0.12758,0.12745,0.29413,0.29411,0.29397,0.99767,0.015632,-0.017774,-0.063993,0.014478,-0.018771,0.29538
1.1,0.13055,0.13054,0.13041,0.29752,0.2975,0.29737,0.99758,0.015526,-0.017707,-0.065475,0.014947,-0.019496,0.29877
1.11,0.13354,0.13353,0.1334,0.30089,0.30088,0.30074,0.99748,0.015417,-0.017636,-0.066974,0.015414,-0.020233,0.30214
1.12,0.13657,0.13656,0.13642,0.30425,0.30423,0.3041,0.99738,0.015305,-0.017562,-0.068489,0.015869,-0.020962,0.3055
1.13,0.13963,0.13962,0.13948,0.30758,0.30757,0.30744,0.99728,0.015191,-0.017485,-0.070021,0.016312,-0.021684,0.30883
1.14,0.14272,0.14271,0.14257,0.3109,0.31088,0.31076,0.99717,0.015074,-0.017404,-0.07157,0.016743,-0.022399,0.31214
1.15,0.14584,0.14583,0.1457,0.31419,0.31417,0.31406,0.99706,0.014954,-0.01732,-0.073134,0.017164,-0.023112,0.31543
1.16,0.149,0.14899,0.14885,0.31746,0.31745,0.31734,0.99695,0.014831,-0.017233,-0.074715,0.017576,-0.023822,0.3187
1.17,0.15219,0.15218,0.15204,0.32071,0.3207,0.32059,0.99683,0.014706,-0.017143,-0.076312,0.017985,-0.024547,0.32195
1.18,0.15542,0.15541,0.15527,0.32394,0.32393,0.32382,0.99671,0.014578,-0.01705,-0.077925,0.018371,-0.025237,0.32517
1.19,0.15867,0.15866,0.15852,0.32715,0.32713,0.32703,0.99658,0.014447,-0.016953,-0.079553,0.018759,-0.025953,0.32837
1.2,0.16196,0.16195,0.16181,0.33033,0.33031,0.33022,0.99645,0.014314,-0.016853,-0.081198,0.019129,-0.026647,0.33154
1.21,0.16528,0.16527,0.16512,0.33348,0.33347,0.33338,0.99632,0.014179,-0.016751,-0.082858,0.019494,-0.027351,0.33469
1.22,0.16863,0.16862,0.16847,0.33662,0.3366,0.33652,0.99618,0.014042,-0.016645,-0.084533,0.019847,-0.028045,0.33781
1.23,0.17201,0.172,0.17185,0.33972,0.33971,0.33963,0.99604,0.013902,-0.016535,-0.086223,0.020188,-0.028733,0.34091
1.24,0.17542,0.17541,0.17527,0.3428,0.34279,0.34271,0.9959,0.013759,-0.016423,-0.087929,0.020518,-0.029412,0.34398
